issuerName,filing,submissionType,reportPeriod,filedDate,issuerTitleOfClass,filerCik,filerName,issuerQkid,value,QOQValue,shrsOrPrnAmt,QOQSshPrnAmt,portWgt,QOQPortWgt,qtrsHeld,newOrDeleted
CROCS INC,edgar/data/2000043/0002000043-24-000003.txt,13F-HR,20240630,20240730,COM,2000043,WIT Partners Advisory Pte. Ltd.,0001334036.0000.000BLY663,416261743,6104743,2852280,0,1,0,2,
CROCS INC,edgar/data/1390777/0001390777-24-000092.txt,13F-HR,20240630,20240725,COM,1390777,Bank of New York Mellon Corp,0001334036.0000.000BLY663,78612872,1120554,538666,-224,0.00014903,0.0000002,44,
CROCS INC,edgar/data/1367401/0001367401-24-000007.txt,13F-HR,20240630,20240724,COM,1367401,VAN LANSCHOT KEMPEN INVESTMENT MANAGEMENT N.V.,0001334036.0000.000BLY663,76140692,5859592,521726,32984,0.00852341,-0.00022078,2,
CROCS INC,edgar/data/1316926/0001144969-24-000004.txt,13F-HR,20240630,20240726,COM,1316926,Polaris Capital Management  LLC,0001334036.0000.000BLY663,52695577,-694056,361077,-10200,0.02823611,0.00163066,18,
CROCS INC,edgar/data/1735445/0001099910-24-000274.txt,13F-HR,20240630,20240724,COM,1735445,Rheos Capital Works Inc.,0001334036.0000.000BLY663,46161000,23441000,316300,158300,24.17565727,13.29945261,2,
Crocs Inc,edgar/data/1050470/0001050470-24-000013.txt,13F-HR,20240630,20240806,COM,1050470,LSV ASSET MANAGEMENT,0001334036.0000.000BLY663,42558000,-641000,291613,-8800,0.93240522,0.03857699,10,
CROCS INC,edgar/data/1452861/0001452861-24-000004.txt,13F-HR,20240630,20240715,COM,1452861,IMC-Chicago  LLC,0001334036.000P.000BLY663,39053544,8150924,267600,52700,0.00023807,0.00004825,5,
CROCS INC,edgar/data/1452861/0001452861-24-000004.txt,13F-HR,20240630,20240715,COM,1452861,IMC-Chicago  LLC,0001334036.000C.000BLY663,30939280,5989980,212000,38500,0.00018861,0.00003535,5,
CROCS INC,edgar/data/1126328/0001085146-24-003313.txt,13F-HR,20240630,20240729,COM,1126328,PRINCIPAL FINANCIAL GROUP INC,0001334036.0000.000BLY663,29507609,-3425323,202190,-26829,0.00017523,-0.00001834,44,
CROCS INC,edgar/data/810265/0000810265-24-000004.txt,13F-HR,20240630,20240731,COM,810265,NEW YORK STATE COMMON RETIREMENT FUND,0001334036.0000.000BLY663,29416000,3289000,201559,19872,0.38590427,0.0410586,44,
CROCS INC,edgar/data/926171/0000926171-24-000011.txt,13F-HR,20240630,20240802,COM,926171,NATIONAL BANK OF CANADA /FI/,0001334036.0000.000BLY663,26992555,26685864,182695,180555,0.00036792,0.00036323,10,
CROCS INC,edgar/data/1115418/0001115418-24-000004.txt,13F-HR,20240630,20240801,COM,1115418,RHUMBLINE ADVISERS,0001334036.0000.000BLY663,23530577,-1265105,161235,-11197,0.00022115,-0.00001697,44,
CROCS INC,edgar/data/1593051/0001140361-24-034015.txt,13F-HR,20240630,20240724,COM,1593051,Retirement Systems of Alabama,0001334036.0000.000BLY663,22580275,167895,154723,-1135,0.00087337,0.00000669,13,
CROCS INC,edgar/data/1488542/0001464302-24-000003.txt,13F-HR,20240630,20240725,COM,1488542,SIMPLEX TRADING  LLC,0001334036.000P.000BLY663,18446000,-24521000,126400,-172400,0.11394933,-0.13424803,32,
CROCS INC,edgar/data/1009016/0000950123-24-006871.txt,13F-HR,20240630,20240730,COM,1009016,FORT WASHINGTON INVESTMENT ADVISORS INC /OH/,0001334036.0000.000BLY663,18356333,-2251645,125780,-17530,0.00119622,-1.55437917,2,
CROCS INC,edgar/data/1488542/0001464302-24-000003.txt,13F-HR,20240630,20240725,COM,1488542,SIMPLEX TRADING  LLC,0001334036.000C.000BLY663,17293000,-8461000,118500,-60600,0.10682672,-0.04194035,30,
CROCS INC,edgar/data/1767217/0001767217-24-000003.txt,13F-HR,20240630,20240806,COM,1767217,TLW Wealth Management  LLC,0001334036.0000.000BLY663,16400153,15581,112376,-1564,0.10216019,-0.00219586,22,
CROCS INC,edgar/data/1123274/0001123274-24-000004.txt,13F-HR,20240630,20240725,COM,1123274,Bank Pictet & Cie (Europe) AG,0001334036.000C.000BLY663,14594000,214000,100000,0,0.00355225,-0.00018756,2,
