filerName,filing,submissionType,reportPeriod,filedDate,inclMgrs,normalizedIssuer,normalizedTitleOfClass,issuerSIC,issuerSector,issuerTicker,issuerQkid,value,shrsOrPrnAmt,putCall,shrsOrPrnAmtType,invDiscretion,votingAuthSole,votingAuthShared,votingAuthNone,portWgt,hasOtherManager,otherManager,otherManagerFileNumber,QtrsHeld,QOQSshPrnAmt,QOQValue,QOQPortWgt,newOrDel
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,CUSTOM TRUCK ONE SOURCE INC,*W EXP 01/01/202,7359,IN,CTOSW,0001709682.0010.00HVYLX89,0,0,,SH,DFND,0,0,0,0,TRUE,1,028-05394,11,-1658027,-115896,-0.00000101,DEL
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,BLUERIVER ACQUISITION CORP,*W EXP 01/04/202,3841,IN,BLUA,0001831006.0010.UF006519A,5247,79868,,SH,DFND,79868,0,0,0.00000004,TRUE,1,028-05394,12,0,2076,0.00000002,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,BM TECHNOLOGIES INC,*W EXP 01/04/202,6022,FI,BMTX,0001725872.0010.UF007449A,1096,95265,,SH,DFND,95265,0,0,0.00000001,TRUE,1,028-05394,6,0,-2153,-0.00000002,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,DAVE INC,*W EXP 01/05/202,6199,FI,DAVEW,0001841408.0010.00Z48GTH1,2701,49200,,SH,DFND,49200,0,0,0.00000002,TRUE,1,028-05394,9,0,1938,0.00000002,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,BLUE WORLD ACQUISITION CORP,*W EXP 01/10/202,6770,NA,BWAQW,0001878074.0010.0161G0QB8,5280,32001,,SH,DFND,32001,0,0,0.00000005,TRUE,1,028-05394,8,0,4298,0.00000004,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,TRITIUM DCFC LIMITED,*W EXP 01/13/202,3790,IN,DCFWQ,0001862490.0010.0147NWGH3,650,16572,,SH,DFND,16572,0,0,0.00000001,TRUE,1,028-05394,9,0,-676,-0.00000001,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,LANVIN GROUP HOLDINGS LIMITE,*W EXP 01/14/202,2300,CS,,0001922097.0010.UF008385A,1248,25000,,SH,DFND,25000,0,0,0.00000001,TRUE,1,028-05394,6,0,-2252,-0.00000002,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,OCA ACQUISITION CORP,*W EXP 01/14/202,6770,NA,OCAXW,0001820175.0010.00YPT1LZ8,2047,32284,,SH,DFND,32284,0,0,0.00000002,TRUE,1,028-05394,12,0,-210,0,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,HCM ACQUISITION CO,*W EXP 01/20/202,6770,NA,HCMAW,0001845368.0010.00ZHRG2Y5,0,0,,SH,DFND,0,0,0,0,TRUE,1,028-05394,8,-375000,-10313,-0.00000009,DEL
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,NEWCOURT ACQUISITION CORP,*W EXP 01/22/202,6770,NA,NCACW,0001849475.0010.00ZXX22G9,0,0,,SH,DFND,0,0,0,0,TRUE,1,028-05394,9,-175352,-2806,-0.00000002,DEL
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,BRIDGER AEROSPACE GRP HLDGS,*W EXP 01/24/202,7389,IN,BAERW,0001941536.0010.01BBJSP77,0,0,,SH,DFND,0,0,0,0,TRUE,1,028-05394,4,-36571,-8046,-0.00000007,DEL
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,PSYENCE BIOMEDICAL LTD,*W EXP 01/25/202,2834,HC,PBMWW,0001985062.0010.01L716WY8,12555,175352,,SH,DFND,175352,0,0,0.00000011,TRUE,1,028-05394,1,175352,12555,0.00000011,NEW
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,JAWS MUSTANG ACQUISITION COR,*W EXP 01/30/202,6770,NA,JWSM,0001831359.0010.UF006772A,12799,59528,,SH,DFND,59528,0,0,0.00000011,TRUE,1,028-05394,12,0,10436,0.00000009,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,CETUS CAP ACQUISITION CORP,*W EXP 01/31/202,6770,NA,CETUW,0001936702.0010.01G0DJCJ7,760,40000,,SH,DFND,40000,0,0,0.00000001,TRUE,1,028-05394,5,0,192,0,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,NORTHERN REVIVAL ACQUISITION,*W EXP 01/31/202,6770,NA,NRACW,0001831964.0010.00YVWBCR2,0,0,,SH,DFND,0,0,0,0,TRUE,1,028-05394,11,-103336,-1054,-0.00000001,DEL
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,ROSS ACQUISITION CORP II,*W EXP 02/01/202,6770,NA,ROSS,0001841610.0010.UF006961A,0,0,,SH,DFND,0,0,0,0,TRUE,1,028-05394,11,-213502,-11956,-0.0000001,DEL
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,AERWINS TECHNOLOGIES INC,*W EXP 02/03/202,3721,IN,AWINW,0001855631.0010.0125LTTP0,4447,367500,,SH,DFND,367500,0,0,0.00000004,TRUE,1,028-05394,5,0,-331,0,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,E2OPEN PARENT HOLDINGS INC,*W EXP 02/04/202,7374,IN,ETWO,0001800347.0010.UF007691A,178560,469896,,SH,DFND,469896,0,0,0.00000153,TRUE,1,028-05394,4,0,46989,0.00000038,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,HNR ACQUISITION CORP,*W EXP 02/04/202,1311,EN,,0001842556.0010.UF003965A,33702,240900,,SH,DFND,240900,0,0,0.00000029,TRUE,1,028-05394,8,0,20332,0.00000017,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,HH&L ACQUISITION CO,*W EXP 02/04/202,8071,HC,HHLA,0001824185.0010.UF006694A,0,0,,SH,DFND,0,0,0,0,TRUE,1,028-05394,11,-21200,-530,0,DEL
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,BOREALIS FOODS INC,*W EXP 02/07/202,2000,CS,BRLSW,0001852973.0010.0120CK9R6,51000,300000,,SH,DFND,300000,0,0,0.00000044,TRUE,1,028-05394,1,300000,51000,0.00000044,NEW
