acceptanceDatetime,filing,form,is10b5One,rptPeriod,issuerCik,issuerName,issuerTradingSymbol,issuerQkid,ownerCik,ownerName,isDirector,isOfficer,officerTitle,isTenPct,secTitle,secTitleFootnote,conversionOrExercisePrice,conversionFootnote,isTxn,isDeriv,txnDate,execDate,txnCode,txnDesc,txnAmount,acquiredOrDisposed,txnPrice,txnValue,exerciseDate,exerciseDateFootnote,expirationDate,expirationFootnote,underlyingSecTitle,underlyingShs,postTxnShs,postTxnFootnote,ownershipForm,ownershipNature,ownershipFootnote
20240701161802,edgar/data/320187/0001127602-24-019550.txt,4,1,2024-06-28,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1218363,SWAN ROBERT HOLMES,1,NA,,NA,Class B Common Stock,,0,,true,0,2024-06-28,NA,P,Open market or private purchase of non-derivative or derivative security,2941,A,77.02,226515.82,NA,,,,,0,20946,,D,,
20240701161802,edgar/data/320187/0001127602-24-019550.txt,4,1,2024-06-28,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1218363,SWAN ROBERT HOLMES,1,NA,,NA,Class B Common Stock,,0,,false,0,,NA,,,0,,0,0,NA,,,,,0,1580,,I,by Trust,F3
20240711190952,edgar/data/320187/0000320187-24-000031.txt,4,0,2024-07-09,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1645433,Swoosh LLC,0,0,,1,Class A Common Convertible,,0,F1,true,1,2024-07-09,NA,J,Other acquisition or disposition (describe transaction),4000000,D,0,0,NA,F1,,F1,Class B Common Stock,4000000,226750000,,D,,
20240711191131,edgar/data/320187/0001127602-24-020315.txt,4,0,2024-07-09,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,903855,KNIGHT PHILIP H,NA,NA,,NA,Class B Common Stock,,0,,false,0,,NA,,,0,,0,0,NA,,,,,0,8335687,,D,,
20240711191131,edgar/data/320187/0001127602-24-020315.txt,4,0,2024-07-09,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,903855,KNIGHT PHILIP H,NA,NA,,NA,Class A Common Convertible,,0,F1,true,1,2024-07-09,NA,J,Other acquisition or disposition (describe transaction),3600000,A,0,0,NA,F1,,F1,Class B Common Stock,3600000,27479487,,D,,
20240711191131,edgar/data/320187/0001127602-24-020315.txt,4,0,2024-07-09,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,903855,KNIGHT PHILIP H,NA,NA,,NA,Class A Common Convertible,,0,F1,false,1,,NA,,,0,,0,0,NA,F1,,F1,Class B Common Stock,521792,521792,,I,by Spouse,F3
20240712162323,edgar/data/320187/0001127602-24-020372.txt,4,0,2024-07-10,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1848752,williams craig a.,NA,1,PRES: GEOGRAPHIES & MRKTPLACE,NA,Class B Common Stock,,0,,true,0,2024-07-10,NA,F,Payment of exercise price or tax liability by delivering or withholding securities incident to the receipt or exercise,14833,D,72.54,1075985.82,NA,,,,,0,85450,F2,D,,
20240722165250,edgar/data/320187/0001127602-24-020798.txt,4,1,2024-07-18,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1236641,PARKER MARK G,1,1,EXECUTIVE CHAIRMAN,NA,Class B Common Stock,,0,,true,0,2024-07-18,NA,M,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,110000,A,38.76,4263600,NA,,,,,0,1212090,,D,,
20240722165250,edgar/data/320187/0001127602-24-020798.txt,4,1,2024-07-18,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1236641,PARKER MARK G,1,1,EXECUTIVE CHAIRMAN,NA,Class B Common Stock,,0,,true,0,2024-07-18,NA,S,Open market or private sale of non-derivative or derivative security,110000,D,72.97,8026700,NA,,,,,0,1102090,,D,,
20240722165250,edgar/data/320187/0001127602-24-020798.txt,4,1,2024-07-18,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1236641,PARKER MARK G,1,1,EXECUTIVE CHAIRMAN,NA,Class B Common Stock,,0,,false,0,,NA,,,0,,0,0,NA,,,,,0,38020,,I,by Retirement Plan,F3
20240722165250,edgar/data/320187/0001127602-24-020798.txt,4,1,2024-07-18,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1236641,PARKER MARK G,1,1,EXECUTIVE CHAIRMAN,NA,Non-Qualified Stock Option (Right to Buy),,38.76,,true,1,2024-07-18,NA,M,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,110000,D,0,0,NA,F4,2024-07-18,,Class B Common Stock,110000,0,,D,,
20240805162010,edgar/data/320187/0001127602-24-021592.txt,4,0,2024-08-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1713178,Matheson Monique S.,NA,1,EVP: CHRO,NA,Class B Common Stock,,0,,true,0,2024-08-01,NA,F,Payment of exercise price or tax liability by delivering or withholding securities incident to the receipt or exercise,3716,D,73.85,274426.6,NA,,,,,0,41281,F2,D,,
20240805162010,edgar/data/320187/0001127602-24-021592.txt,4,0,2024-08-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1713178,Matheson Monique S.,NA,1,EVP: CHRO,NA,Class B Common Stock,,0,,false,0,,NA,,,0,,0,0,NA,,,,,0,12037,,I,by Retirement Plan,F3
20240805162205,edgar/data/320187/0001127602-24-021594.txt,4,0,2024-08-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1585322,O'NEILL HEIDI,NA,1,PRES: CONSUMER PRODCT & BRAND,NA,Class B Common Stock,,0,,true,0,2024-08-01,NA,F,Payment of exercise price or tax liability by delivering or withholding securities incident to the receipt or exercise,5287,D,73.85,390444.95,NA,,,,,0,79448,F2,D,,
20240805162421,edgar/data/320187/0001127602-24-021596.txt,4,0,2024-08-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1911661,Miller Ann M,NA,1,EVP: Chief Legal Officer,NA,Class B Common Stock,,0,,true,0,2024-08-01,NA,F,Payment of exercise price or tax liability by delivering or withholding securities incident to the receipt or exercise,2094,D,73.85,154641.9,NA,,,,,0,27285,F2,D,,
20240805162421,edgar/data/320187/0001127602-24-021596.txt,4,0,2024-08-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1911661,Miller Ann M,NA,1,EVP: Chief Legal Officer,NA,Class B Common Stock,,0,,false,0,,NA,,,0,,0,0,NA,,,,,0,2870,,I,by Retirement Plan,F3
20240805162617,edgar/data/320187/0001127602-24-021598.txt,4,0,2024-08-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1806799,Friend Matthew,NA,1,EVP: CFO,NA,Class B Common Stock,,0,,true,0,2024-08-01,NA,F,Payment of exercise price or tax liability by delivering or withholding securities incident to the receipt or exercise,5088,D,73.85,375748.8,NA,,,,,0,22224,F2,D,,
20240805162748,edgar/data/320187/0001127602-24-021601.txt,4,0,2024-08-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1848752,williams craig a.,NA,1,PRES: GEOGRAPHIES & MRKTPLACE,NA,Class B Common Stock,,0,,true,0,2024-08-01,NA,F,Payment of exercise price or tax liability by delivering or withholding securities incident to the receipt or exercise,3492,D,73.85,257884.2,NA,,,,,0,81958,F2,D,,
20240805162922,edgar/data/320187/0001127602-24-021606.txt,4,0,2024-08-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1321240,Donahoe John J,1,1,PRESIDENT & CEO,NA,Class B Common Stock,,0,,true,0,2024-08-01,NA,F,Payment of exercise price or tax liability by delivering or withholding securities incident to the receipt or exercise,10605,D,73.85,783179.25,NA,,,,,0,153952,,D,,
20240805162922,edgar/data/320187/0001127602-24-021606.txt,4,0,2024-08-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1321240,Donahoe John J,1,1,PRESIDENT & CEO,NA,Class B Common Stock,,0,,false,0,,NA,,,0,,0,0,NA,,,,,0,51591,,I,by GRAT,
20240805162922,edgar/data/320187/0001127602-24-021606.txt,4,0,2024-08-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1321240,Donahoe John J,1,1,PRESIDENT & CEO,NA,Class B Common Stock,,0,,false,0,,NA,,,0,,0,0,NA,,,,,0,195,,I,by Retirement Plan,F2
20240808161647,edgar/data/320187/0001127602-24-021893.txt,4,1,2024-08-07,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1806799,Friend Matthew,NA,1,EVP: CFO,NA,Class B Common Stock,F1,0,,true,0,2024-08-07,NA,S,Open market or private sale of non-derivative or derivative security,5410,D,72.88,394280.8,NA,,,,,0,16814,F3,D,,
20240815171340,edgar/data/320187/0001127602-24-022261.txt,4,1,2024-08-14,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1236641,PARKER MARK G,1,1,EXECUTIVE CHAIRMAN,NA,Class B Common Stock,,0,,true,0,2024-08-14,NA,G,Bona fide gift,18377,D,0,0,NA,,,,,0,1083713,,D,,
20240815171340,edgar/data/320187/0001127602-24-022261.txt,4,1,2024-08-14,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1236641,PARKER MARK G,1,1,EXECUTIVE CHAIRMAN,NA,Class B Common Stock,,0,,true,0,2024-08-14,NA,S,Open market or private sale of non-derivative or derivative security,52487,D,78,4093986,NA,,,,,0,1031226,,D,,
20240815171340,edgar/data/320187/0001127602-24-022261.txt,4,1,2024-08-14,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1236641,PARKER MARK G,1,1,EXECUTIVE CHAIRMAN,NA,Class B Common Stock,,0,,false,0,,NA,,,0,,0,0,NA,,,,,0,38020,,I,by Retirement Plan,F3
20240904161935,edgar/data/320187/0001127602-24-023397.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1848752,williams craig a.,NA,1,PRES: GEOGRAPHIES & MRKTPLACE,NA,Class B Common Stock,,0,,true,0,2024-09-01,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),15002,A,0,0,NA,,,,,0,96960,F2,D,,
20240904161935,edgar/data/320187/0001127602-24-023397.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1848752,williams craig a.,NA,1,PRES: GEOGRAPHIES & MRKTPLACE,NA,Non-Qualified Stock Option (Right to Buy),,83.32,,true,1,2024-09-01,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),117549,A,0,0,NA,F3,2034-09-01,,Class B Common Stock,117549,117549,,D,,
20240904163432,edgar/data/320187/0001127602-24-023401.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1585322,O'NEILL HEIDI,NA,1,PRES: CONSUMER PRODCT & BRAND,NA,Class B Common Stock,,0,,true,0,2024-09-01,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),15002,A,0,0,NA,,,,,0,94450,F2,D,,
20240904163432,edgar/data/320187/0001127602-24-023401.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1585322,O'NEILL HEIDI,NA,1,PRES: CONSUMER PRODCT & BRAND,NA,Non-Qualified Stock Option (Right to Buy),,83.32,,true,1,2024-09-01,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),117549,A,0,0,NA,F3,2034-09-01,,Class B Common Stock,117549,117549,,D,,
20240904165051,edgar/data/320187/0001127602-24-023410.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1948827,Nielsen Johanna,NA,1,VP: CORP CONTROLLER,NA,Non-Qualified Stock Option (Right to Buy),,83.32,,true,1,2024-09-01,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),21004,A,0,0,NA,F1,2034-09-01,,Class B Common Stock,21004,21004,,D,,
20240904190321,edgar/data/320187/0001127602-24-023443.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1911661,Miller Ann M,NA,1,EVP: Chief Legal Officer,NA,Class B Common Stock,,0,,true,0,2024-09-01,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),10314,A,0,0,NA,,,,,0,37599,F2,D,,
20240904190321,edgar/data/320187/0001127602-24-023443.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1911661,Miller Ann M,NA,1,EVP: Chief Legal Officer,NA,Class B Common Stock,,0,,false,0,,NA,,,0,,0,0,NA,,,,,0,2870,,I,by Retirement Plan,F3
20240904190321,edgar/data/320187/0001127602-24-023443.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1911661,Miller Ann M,NA,1,EVP: Chief Legal Officer,NA,Non-Qualified Stock Option (Right to Buy),,83.32,,true,1,2024-09-01,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),80815,A,0,0,NA,F4,2034-09-01,,Class B Common Stock,80815,80815,,D,,
20240904203643,edgar/data/320187/0001127602-24-023487.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1713178,Matheson Monique S.,NA,1,EVP: CHRO,NA,Class B Common Stock,,0,,true,0,2024-09-01,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),10314,A,0,0,NA,,,,,0,51595,F2,D,,
20240904203643,edgar/data/320187/0001127602-24-023487.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1713178,Matheson Monique S.,NA,1,EVP: CHRO,NA,Class B Common Stock,,0,,false,0,,NA,,,0,,0,0,NA,,,,,0,12037,,I,by Retirement Plan,F3
20240904203643,edgar/data/320187/0001127602-24-023487.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1713178,Matheson Monique S.,NA,1,EVP: CHRO,NA,Non-Qualified Stock Option (Right to Buy),,83.32,,true,1,2024-09-01,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),80815,A,0,0,NA,F4,2034-09-01,,Class B Common Stock,80815,80815,,D,,
20240904210619,edgar/data/320187/0001127602-24-023501.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1236641,PARKER MARK G,1,1,EXECUTIVE CHAIRMAN,NA,Non-Qualified Stock Option (Right to Buy),,83.32,,true,1,2024-09-01,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),83964,A,0,0,NA,F1,2034-09-01,,Class B Common Stock,83964,83964,,D,,
20240904210935,edgar/data/320187/0001127602-24-023503.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1321240,Donahoe John J,1,1,PRESIDENT & CEO,NA,Class B Common Stock,,0,,true,0,2024-09-01,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),35630,A,0,0,NA,,,,,0,189582,,D,,
20240904210935,edgar/data/320187/0001127602-24-023503.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1321240,Donahoe John J,1,1,PRESIDENT & CEO,NA,Class B Common Stock,,0,,false,0,,NA,,,0,,0,0,NA,,,,,0,51591,,I,by GRAT,
20240904210935,edgar/data/320187/0001127602-24-023503.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1321240,Donahoe John J,1,1,PRESIDENT & CEO,NA,Class B Common Stock,,0,,false,0,,NA,,,0,,0,0,NA,,,,,0,195,,I,by Retirement Plan,F2
20240904210935,edgar/data/320187/0001127602-24-023503.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1321240,Donahoe John J,1,1,PRESIDENT & CEO,NA,Non-Qualified Stock Option (Right to Buy),,83.32,,true,1,2024-09-01,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),279178,A,0,0,NA,F3,2034-09-01,,Class B Common Stock,279178,279178,,D,,
20240904211051,edgar/data/320187/0001127602-24-023504.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1806799,Friend Matthew,NA,1,EVP: CFO,NA,Class B Common Stock,,0,,true,0,2024-09-01,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),15002,A,0,0,NA,,,,,0,31816,F2,D,,
20240904211051,edgar/data/320187/0001127602-24-023504.txt,4,0,2024-09-01,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1806799,Friend Matthew,NA,1,EVP: CFO,NA,Non-Qualified Stock Option (Right to Buy),,83.32,,true,1,2024-09-01,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),117549,A,0,0,NA,F3,2034-09-01,,Class B Common Stock,117549,117549,,D,,
20240911162215,edgar/data/320187/0001127602-24-023778.txt,4,0,2024-09-10,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,938885,ROGERS JOHN W JR,1,NA,,NA,Class B Common Stock,,0,,true,0,2024-09-10,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),2437,A,0,0,NA,,,,,0,31903,,D,,
20240911162343,edgar/data/320187/0001127602-24-023780.txt,4,0,2024-09-10,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1271739,PELUSO MICHELLE A,1,NA,,NA,Class B Common Stock,,0,,true,0,2024-09-10,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),2437,A,0,0,NA,,,,,0,30195,,D,,
20240911162606,edgar/data/320187/0001127602-24-023784.txt,4,0,2024-09-10,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1646571,Knight Travis A,1,NA,,NA,Class B Common Stock,,0,,true,0,2024-09-10,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),2437,A,0,0,NA,,,,,0,1656321,,D,,
20240911162606,edgar/data/320187/0001127602-24-023784.txt,4,0,2024-09-10,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1646571,Knight Travis A,1,NA,,NA,Class B Common Stock,,0,,false,0,,NA,,,0,,0,0,NA,,,,,0,4875000,F2,I,by GRAT,
20240911162735,edgar/data/320187/0001127602-24-023787.txt,4,0,2024-09-10,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1513315,Henry Peter B.,1,NA,,NA,Class B Common Stock,,0,,true,0,2024-09-10,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),2437,A,0,0,NA,,,,,0,8480,,D,,
20240911162856,edgar/data/320187/0001127602-24-023789.txt,4,0,2024-09-10,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1241808,HENRY MARIA,1,NA,,NA,Class B Common Stock,,0,,true,0,2024-09-10,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),2437,A,0,0,NA,,,,,0,6148,,D,,
20240911163037,edgar/data/320187/0001127602-24-023792.txt,4,0,2024-09-10,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1946771,Gil Monica,1,NA,,NA,Class B Common Stock,,0,,true,0,2024-09-10,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),2437,A,0,0,NA,,,,,0,6274,,D,,
20240911163247,edgar/data/320187/0001127602-24-023794.txt,4,0,2024-09-10,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1793938,Duckett Thasunda,1,NA,,NA,Class B Common Stock,,0,,true,0,2024-09-10,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),2437,A,0,0,NA,,,,,0,10970,,D,,
20240911163415,edgar/data/320187/0001127602-24-023796.txt,4,0,2024-09-10,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1214156,COOK TIMOTHY D,1,NA,,NA,Class B Common Stock,,0,,true,0,2024-09-10,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),2437,A,0,0,NA,,,,,0,52861,,D,,
20240911163609,edgar/data/320187/0001127602-24-023798.txt,4,0,2024-09-10,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1745151,Benko Cathleen A,1,NA,,NA,Class B Common Stock,,0,,true,0,2024-09-10,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),2437,A,0,0,NA,,,,,0,15360,,D,,
20240911163746,edgar/data/320187/0001127602-24-023800.txt,4,0,2024-09-10,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1218363,SWAN ROBERT HOLMES,1,NA,,NA,Class B Common Stock,,0,,true,0,2024-09-10,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),2437,A,0,0,NA,,,,,0,23383,,D,,
20240911163746,edgar/data/320187/0001127602-24-023800.txt,4,0,2024-09-10,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1218363,SWAN ROBERT HOLMES,1,NA,,NA,Class B Common Stock,,0,,false,0,,NA,,,0,,0,0,NA,,,,,0,1580,,I,by Trust,F2
20240919161910,edgar/data/320187/0001127602-24-024227.txt,4,0,2024-09-18,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1806799,Friend Matthew,NA,1,EVP: CFO,NA,Performance-Based Restricted Stock Units,,0,F1,true,1,2024-09-18,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),49110,A,0,0,NA,F1,,F1,Class B Common Stock,49110,49110,,D,,
20240919162107,edgar/data/320187/0001127602-24-024230.txt,4,0,2024-09-18,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1585322,O'NEILL HEIDI,NA,1,PRES: CONSUMER PRODCT & BRAND,NA,Performance-Based Restricted Stock Units,,0,F1,true,1,2024-09-18,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),73665,A,0,0,NA,F1,,F1,Class B Common Stock,73665,73665,,D,,
20240919162345,edgar/data/320187/0001127602-24-024236.txt,4,0,2024-09-18,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1848752,williams craig a.,NA,1,PRES: GEOGRAPHIES & MRKTPLACE,NA,Performance-Based Restricted Stock Units,,0,F1,true,1,2024-09-18,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),73665,A,0,0,NA,F1,,F1,Class B Common Stock,73665,73665,,D,,
20240919162647,edgar/data/320187/0001127602-24-024239.txt,4,0,2024-09-18,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1713178,Matheson Monique S.,NA,1,EVP: CHRO,NA,Performance-Based Restricted Stock Units,,0,F1,true,1,2024-09-18,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),36833,A,0,0,NA,F1,,F1,Class B Common Stock,36833,36833,,D,,
20240919162920,edgar/data/320187/0001127602-24-024244.txt,4,0,2024-09-18,320187,NIKE Inc.,NKE,0000320187.0000.001S6NTK2,1911661,Miller Ann M,NA,1,EVP: Chief Legal Officer,NA,Performance-Based Restricted Stock Units,,0,F1,true,1,2024-09-18,NA,A,Grant or award or other acquisition pursuant to Rule 16b-3(d),36833,A,0,0,NA,F1,,F1,Class B Common Stock,36833,36833,,D,,
