cik,pik,acceptance_time,acceptance_utc,stmt,item,unit,form,filename,accn,fye,fyeq,fpb,fpe,filed,fpe2filed,filed40,ffiled,cyqtr,cyear,cqtr,rptq,rptqd,rpty,rptyd,fp,fqtr,fqd,fq,fytd,ttm,rstmt,rstmt.q,rstmt.y,iq,asof,concept_id,fqpy,fytdpy,ann
78003,78003,20120228170708,1330466828,IS,SALE,iso4217_USD,10-K,edgar/data/78003/0001193125-12-085703.txt,0001193125-12-085703,--12-31,4,20090101,20091231,20120228,789,20100209,20120228,20091231,2010,1,NA,NA,49269000000,364,FY,4,NA,NA,49269000000,49269000000,0,0,0,1,20230223,d2aecf5cce4cab918ebc144ef601636b,NA,NA,49269000000
78003,78003,20110811155115,1313092275,IS,SALE,iso4217_USD,10-Q,edgar/data/78003/0001157523-11-004964.txt,0001157523-11-004964,--12-31,4,20100405,20100704,20110811,403,20100813,20110811,20100930,2010,3,17132000000,90,33708000000,180,Q2,2,185,17132000000,33708000000,NA,0,0,0,0,20230223,d351a4a98bb401bcf5d0509a15bc711b,NA,NA,NA
78003,78003,20111110165030,1320961830,IS,SALE,iso4217_USD,10-Q,edgar/data/78003/0001157523-11-006714.txt,0001157523-11-006714,--12-31,4,20100705,20101003,20111110,403,20101112,20111110,20101231,2010,4,15995000000,90,49703000000,271,Q3,3,91,15995000000,49703000000,NA,0,0,0,0,20230223,ae93858929b6d399a337bca43f2f5b06,NA,NA,NA
78003,78003,20130228165754,1362088674,IS,SALE,usd,10-K,edgar/data/78003/0000078003-13-000006.txt,0000078003-13-000006,--12-31,4,20100101,20101231,20130228,790,20110209,20120228,20101231,2011,1,NA,NA,65165000000,364,FY,4,89,15462000000,65165000000,65165000000,1,0,1,1,20230223,a1473f575301d80b31edbbe30e8fa33b,NA,49269000000,65165000000
78003,78003,20120510171913,1336684753,IS,SALE,iso4217_USD,10-Q,edgar/data/78003/0001157523-12-002789.txt,0001157523-12-002789,--12-31,4,20110101,20110403,20120510,403,20110513,20120510,20110630,2011,2,16502000000,92,NA,NA,Q1,1,93,16502000000,16502000000,NA,0,0,0,0,20120510,dcff2c0db2a6aa6265ccbfe332ae8019,NA,NA,NA
78003,78003,20120809172618,1344547578,IS,SALE,iso4217_USD,10-Q,edgar/data/78003/0001157523-12-004450.txt,0001157523-12-004450,--12-31,4,20110401,20110703,20120809,403,20110812,20110811,20110930,2011,3,16485000000,93,32509000000,183,Q2,2,91,16485000000,32509000000,64518000000,1,0,1,0,20230223,56f6076f9a42fce2f112635dab7495d5,17132000000,33708000000,NA
78003,78003,20121109133954,1352486394,IS,SALE,usd,10-Q,edgar/data/78003/0000078003-12-000008.txt,0000078003-12-000008,--12-31,4,20110704,20111002,20121109,404,20111111,20111110,20111231,2011,4,16609000000,90,49118000000,274,Q3,3,91,16609000000,49118000000,65779000000,2,1,1,0,20230223,f11b5952dabd7346a4ecc391d4a73906,15995000000,49703000000,NA
78003,78003,20140228163815,1393623495,IS,SALE,usd,10-K,edgar/data/78003/0000078003-14-000018.txt,0000078003-14-000018,--12-31,4,20110101,20111231,20140228,790,20120209,20120228,20111231,2012,1,NA,NA,61035000000,364,FY,4,90,11917000000,61035000000,61035000000,1,0,1,1,20230223,a59d796a3995f11c6e611f229698bc72,15462000000,65165000000,61035000000
78003,78003,20130509200304,1368144184,IS,SALE,usd,10-Q,edgar/data/78003/0000078003-13-000013.txt,0000078003-13-000013,--12-31,4,20120101,20120401,20130510,404,20120511,20120510,20120630,2012,2,14885000000,91,NA,NA,Q1,1,92,14885000000,14885000000,59418000000,1,1,0,0,20130510,5d64348069ba4da4ae94af275576bab6,16502000000,16502000000,NA
78003,78003,20130809165914,1376081954,IS,SALE,usd,10-Q,edgar/data/78003/0000078003-13-000017.txt,0000078003-13-000017,--12-31,4,20120402,20120701,20130809,404,20120810,20120809,20120930,2012,3,13968000000,90,27813000000,182,Q2,2,91,13968000000,27813000000,58518000000,2,1,1,0,20230223,038906786f46f7811b0be0c403609bc4,16485000000,32509000000,NA
78003,78003,20131108154352,1383943432,IS,SALE,usd,10-Q,edgar/data/78003/0000078003-13-000029.txt,0000078003-13-000029,--12-31,4,20120702,20120930,20131108,404,20121109,20121109,20120930,2012,4,12953000000,90,40766000000,273,Q3,3,91,12953000000,40766000000,57379000000,2,1,1,0,20230223,69d92ac54d3c229dfe5f0289442f652a,16609000000,49118000000,NA
