filerName,filing,submissionType,reportPeriod,filedDate,normalizedIssuer,normalizedTitleOfClass,issuerSIC,issuerSector,issuerTicker,issuerQkid,value,shrsOrPrnAmt,putCall,shrsOrPrnAmtType,portWgt,hasOtherManager,QtrsHeld,QOQSshPrnAmt,QOQValue,QOQPortWgt,newOrDel
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,CAMPING WORLD HLDGS INC,CL A,5500,CD,CWH,0001669779.0000.00D2Z7X92,3888556,139625,,SH,0.01273408,FALSE,1,139625,3888556,0.01273408,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,GREEN DOT CORP,CL A,6199,FI,GDOT,0001386278.0000.001T6W7V7,4254209,455971,,SH,0.0139315,FALSE,1,455971,4254209,0.0139315,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,SELECT WATER SOLUTIONS INC,CL A COM,1389,EN,WTTR,0001693256.0000.00G4Y2F27,1479560,160299,,SH,0.0048452,FALSE,9,4694,298518,0.00134045,
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,ABM INDS INC,COM,7340,RE,ABM,0000771497.0000.001S5N9B8,13729619,307701,,SH,0.04496117,FALSE,1,307701,13729619,0.04496117,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,ACUITY BRANDS INC,COM,3640,IN,AYI,0001144215.0000.001SBG656,5699495,21209,,SH,0.01866446,FALSE,1,21209,5699495,0.01866446,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,ADTALEM GLOBAL ED INC,COM,8200,CD,ATGE,0000730464.0000.001S8M5S3,13139279,255628,,SH,0.04302795,FALSE,4,-209666,-14289802,-0.03836813,
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,ADVANCED DRAIN SYS INC DEL,COM,3086,MA,WMS,0001604028.0000.001SH4LQ0,9982858,57959,,SH,0.03269143,FALSE,4,-97391,-11865566,-0.03214399,
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,AMN HEALTHCARE SVCS INC,COM,7363,IN,AMN,0001142750.0000.001S6Q193,2089084,33420,,SH,0.00684124,FALSE,1,33420,2089084,0.00684124,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,APPLIED INDL TECHNOLOGIES IN,COM,5080,IN,AIT,0000109563.0000.001S5NK14,4774784,24170,,SH,0.01563626,FALSE,1,24170,4774784,0.01563626,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,ASTEC INDS INC,COM,3531,IN,ASTE,0000792987.0000.001S5NWY2,9165331,209685,,SH,0.03001423,FALSE,2,105280,5281465,0.01848882,
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,AXALTA COATING SYS LTD,COM,2851,MA,AXTA,0001616862.0000.0060CPLK3,11280092,328005,,SH,0.03693956,FALSE,1,328005,11280092,0.03693956,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,CALAVO GROWERS INC,COM,700,IN,CVGW,0001133470.0000.001S9FP96,11242971,404278,,SH,0.036818,FALSE,2,137325,3391883,0.01351981,
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,CHART INDS INC,COM,3443,CD,GTLS,0000892553.0000.001SQV7W4,399775,2427,,SH,0.00130917,FALSE,1,2427,399775,0.00130917,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,EAGLE MATLS INC,COM,3241,MA,EXP,0000918646.0000.001S7VG92,7513888,27650,,SH,0.02460616,FALSE,3,929,2093800,0.00852199,
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,ELANCO ANIMAL HEALTH INC,COM,2834,HC,ELAN,0001739104.0000.00LJYS1R6,4211180,258672,,SH,0.01379059,FALSE,1,258672,4211180,0.01379059,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,EURONET WORLDWIDE INC,COM,6099,FI,EEFT,0001029199.0000.001S9DW39,4609805,41934,,SH,0.01509599,FALSE,2,21654,2551588,0.00898821,
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,FIRSTCASH HOLDINGS INC,COM,5900,CD,FCFS,0000840489.0000.0145KL756,3348308,26253,,SH,0.0109649,FALSE,1,26253,3348308,0.0109649,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,FLOWERS FOODS INC,COM,2000,CS,FLO,0001128928.0000.001S5R7L7,604058,25434,,SH,0.00197814,FALSE,2,-404924,-9083301,-0.02676919,
